customer_id,first_name,last_name,email,phone,city,state
1,John,Doe,johndoen@example.com,123-456-7890,New York,NY
2,Jane,Smith,janesmith@example.com,234-567-8901,San Francisco,CA
3,Mark,Taylor,marktaylor@example.com,345-678-9012,Chicago,IL
4,Linda,Jones,lindajone@example.com,456-709-0123,Houston,TX
5,Michael,Brown,michaelbrown@example.com,567-890-1234,Phoenix,AZ
6,Susan,Johnson,susanjohnson@example.com,608-901-2345,Philadelphia,PA
7,Robert,Lee,robertlee@example.com,789-012-3456,San Antonio,TX
8,Nancy,Adams,nancyadams@example.com,890-123-4567,Dallas,TX
9,Steven,Wright,stevenwright@example.com,901-234-5678,San Diego,CA
10,Mary,Hall,maryhall@example.com,012-345-6789,San Jose,CA
11,James,Harris,jamesharris@example.com,123-456-7890,Austin,TX
12,Patricia,Young,patriciayoung@example.com,234-567-8901,Jacksonville,FL
13,William,Scott,williamscott@example.com,345-678-9012,Columbus,OH
14,Barbara,King,barbaraking@example.com,456-789-0123,Charlotte,NC
15,Joseph,Green,josephgreen@example.com,567-890-1234,Indianapolis,IN
18,Ram,Krishna,ramkrish@example.com,513-906-8787,Cincinnati,OH
16,Siri,Velluri,sirivelluri@example.com,513-817-6463,Blueash,OH
